arm,dimension,level,metric,n_treatment,n_control,treatment_mean,control_mean,effect,se,ci_low,ci_high,p_value,relative_lift,incremental_total,incremental_total_ci_low,incremental_total_ci_high,versus_rest_effect,interaction_p,interaction_q_bh
Mens E-Mail,mens,0,revenue,9568,9519,1.106294941471572,0.4905641348881185,0.6157308065834535,0.1765608796918219,0.26965152897453104,0.9618100841923759,0.0004891358520919582,1.2551484358388356,5891.312357390483,2580.025829228313,9202.598885552652,-0.280907101037011,0.32029019473926346,0.5795727333377148
Mens E-Mail,mens,1,revenue,11739,11787,1.6804378567169267,0.7837999490964622,0.8966379076204645,0.2207097129985426,0.46402922973139626,1.3292465855095328,4.872649822201371e-05,1.1439627020314023,10525.632397556632,5447.239127816861,15604.025667296406,0.280907101037011,0.32029019473926346,0.5795727333377148
Mens E-Mail,womens,0,conversion,9558,9638,0.011508683825068006,0.005499066196306288,0.006009617628761718,0.00132583499481607,0.003431232926198505,0.008685390497321747,5.702344411960403e-06,1.0928432963397252,57.439925295704505,32.79572430860531,83.01496237340126,-0.0014396118886673614,0.433869772754663,0.7015766538160507
Mens E-Mail,womens,1,conversion,11749,11668,0.013362839390586433,0.005913609873157353,0.0074492295174290795,0.0012751963934659798,0.004971175299629656,0.010009396298692002,5.545800185644665e-09,1.2596755073820654,87.52099760027426,58.40633859534883,117.60039711333233,0.0014396118886673614,0.433869772754663,0.7015766538160507
Mens E-Mail,womens,0,revenue,9558,9638,1.3781617493199416,0.6954264370201286,0.682735312299813,0.22223022988537258,0.24714126259206898,1.118329362007557,0.0021282218010223327,0.9817505863385112,6525.584114961613,2362.176187854995,10688.99204206823,-0.15847558288341224,0.589016099514047,0.7720727662311417
Mens E-Mail,womens,1,revenue,11749,11668,1.4587811728657758,0.6175702776825506,0.8412108951832252,0.19145931475316794,0.4659341597547651,1.2164876306116854,1.1203784120290433e-05,1.3621298264869421,9883.386807507713,5474.260442958735,14292.513172056691,0.15847558288341224,0.589016099514047,0.7720727662311417
Womens E-Mail,geo_class,Rural,conversion,3181,3139,0.011631562401760453,0.00828289264096846,0.003348669760791992,0.002496569856583703,-0.0016270989436658967,0.008436687543185346,0.18029530100656066,0.40428747612023325,10.652118509079328,-5.1758017398012175,26.837103074872584,0.0002840805023985385,0.9143532550813035,0.939065505218636
Womens E-Mail,geo_class,Suburban,conversion,9650,9625,0.0075647668393782385,0.004987012987012987,0.0025777538523652516,0.0011373939632673372,0.0003413870489806627,0.004867379550853122,0.023476843873356017,0.5168933506044906,24.875324675324677,3.294385022663395,46.970212665732625,-0.0009704472086464865,0.5523101520811747,0.7631922101485323
Womens E-Mail,geo_class,Urban,conversion,8556,8542,0.009233286582515194,0.005619292905642706,0.003613993676872488,0.0013128376862720122,0.0010397981704762913,0.0062596384744423635,0.005926552614843018,0.6431402914134332,30.92132989932101,8.896513146595147,53.55746678732886,0.0008385620056768003,0.618622852560036,0.78855770617635
Womens E-Mail,geo_class,Rural,revenue,3181,3139,1.2819773656082991,0.7671360305829882,0.5148413350253109,0.3236710776550377,-0.11967811188763311,1.149360781938255,0.11174847457671437,0.6711213063921078,1637.710286715514,-380.69607391456094,3656.116647345589,0.1064505980687045,0.7633481184799176,0.872723568357813
